x,y,Source
9.777658462524414,-1.0805983543395996,Wang et al
9.748528480529785,-1.0662455558776855,Wang et al
9.748528480529785,-1.0662455558776855,Wang et al
9.748528480529785,-1.0662455558776855,Wang et al
9.748528480529785,-1.0662455558776855,Wang et al
9.764702796936035,-1.0739271640777588,Wang et al
9.777658462524414,-1.0805983543395996,Wang et al
9.777658462524414,-1.0805983543395996,Wang et al
9.777658462524414,-1.0805983543395996,Wang et al
9.748528480529785,-1.0662455558776855,Wang et al
9.748528480529785,-1.0662455558776855,Wang et al
9.748528480529785,-1.0662455558776855,Wang et al
9.7749662399292,-1.0789750814437866,Wang et al
9.777658462524414,-1.0805983543395996,Wang et al
9.777658462524414,-1.0805983543395996,Wang et al
9.777658462524414,-1.0805983543395996,Wang et al
9.7749662399292,-1.0789750814437866,Wang et al
9.7749662399292,-1.0789750814437866,Wang et al
9.7749662399292,-1.0789750814437866,Wang et al
9.779720306396484,-1.0797401666641235,Wang et al
9.748528480529785,-1.0662455558776855,Wang et al
9.748528480529785,-1.0662455558776855,Wang et al
9.777658462524414,-1.0805983543395996,Wang et al
9.777658462524414,-1.0805983543395996,Wang et al
9.777658462524414,-1.0805983543395996,Wang et al
9.748528480529785,-1.0662455558776855,Wang et al
9.7749662399292,-1.0789750814437866,Wang et al
9.7749662399292,-1.0789750814437866,Wang et al
9.777658462524414,-1.0805983543395996,Wang et al
9.776598930358887,-1.0786075592041016,Wang et al
9.777658462524414,-1.0805983543395996,Wang et al
9.748528480529785,-1.0662455558776855,Wang et al
9.748528480529785,-1.0662455558776855,Wang et al
9.7749662399292,-1.0789750814437866,Wang et al
9.777658462524414,-1.0805983543395996,Wang et al
9.776598930358887,-1.0786075592041016,Wang et al
9.776598930358887,-1.0786075592041016,Wang et al
9.748528480529785,-1.0662455558776855,Wang et al
9.748528480529785,-1.0662455558776855,Wang et al
9.7749662399292,-1.0789750814437866,Wang et al
9.7749662399292,-1.0789750814437866,Wang et al
9.782069206237793,-1.0822492837905884,Wang et al
9.7749662399292,-1.0789750814437866,Wang et al
9.7749662399292,-1.0789750814437866,Wang et al
9.748528480529785,-1.0662455558776855,Wang et al
9.779720306396484,-1.0797401666641235,Wang et al
9.7749662399292,-1.0789750814437866,Wang et al
9.783214569091797,-1.0811336040496826,Wang et al
