x,y,state_label
4.283739,-0.66523755,3
4.2723055,-0.7671258,3
4.246927,-0.73491025,3
4.1941752,-0.8356239,3
4.115169,-0.89907146,3
4.1136513,-0.82164085,3
4.09975,-0.83100426,3
3.9855893,-0.8528975,3
3.9985538,-0.8626974,3
3.9858923,-0.8726956,3
4.016874,-0.90199465,3
3.9986951,-0.8578986,3
3.9858506,-0.88452584,3
4.011695,-0.84018373,3
3.9916513,-0.86372215,3
3.8387806,-0.8114599,3
3.8912373,-0.84889424,3
3.8025935,-0.8216773,3
3.8012109,-0.83100206,3
3.7809474,-0.81766725,3
3.7647657,-0.8505138,3
3.7234907,-0.8296859,3
3.748289,-0.83884054,3
3.7156987,-0.85979,3
3.7373765,-0.8136497,3
3.709344,-0.7846588,3
3.6666493,-0.80233973,3
3.6365638,-0.79742837,3
3.6127052,-0.7843985,3
3.5493343,-0.782181,3
3.5397449,-0.7428891,3
3.3443365,-0.7061113,3
3.1561964,-0.6090686,3
2.9627826,-0.5233787,3
2.9404929,-0.49571848,3
2.843594,-0.4136599,3
2.8427393,-0.44844824,3
2.722284,-0.3825302,3
2.7198524,-0.3840643,3
2.5926979,-0.33962795,6
2.553882,-0.31612676,6
2.5601854,-0.30276343,6
2.4402297,-0.23906733,6
2.5010343,-0.24694304,6
2.496717,-0.30606225,6
2.4986393,-0.29311293,6
2.494332,-0.2368152,6
2.4606378,-0.2949742,6
2.4673915,-0.28450033,6
2.4028354,-0.26671243,6
2.397094,-0.28154647,6
2.4484646,-0.21387634,6
2.4793198,-0.25044844,6
2.4013147,-0.26242077,6
2.4066155,-0.22104798,6
2.42756,-0.22861831,6
2.4081142,-0.23882924,6
2.2739363,-0.2445719,6
2.4208016,-0.24217132,6
2.2257323,-0.23863444,6
2.270642,-0.1567771,6
2.0516753,-0.19361831,6
2.069835,-0.18915816,6
2.0304255,-0.1683401,6
2.0006633,-0.20752667,6
1.9796218,-0.23210311,6
1.9861783,-0.20112796,6
1.9585923,-0.17317496,6
1.6714505,-0.076785095,6
1.5833662,-0.09940294,6
1.6748319,-0.113345906,6
1.4978228,-0.043432742,6
1.4584326,-0.05345967,6
1.4635359,-0.0373568,6
1.4827135,-0.06722481,6
1.3680863,-0.016680023,6
1.2116855,-0.043034308,6
1.3134836,-0.0077839275,6
1.3859242,-0.008731947,6
1.3946284,0.037580945,6
1.2985106,0.007080013,6
1.2603912,0.05967717,6
1.2402442,-0.005764861,6
1.3100151,0.024124071,6
1.2293241,0.040072765,6
1.2519902,-0.017106168,6
1.02961,0.034008674,6
1.023963,0.012797171,6
1.1223167,0.021599183,6
1.1250253,-0.012053891,6
1.0796156,-0.025171377,6
1.0426476,-0.03116621,6
0.98245746,-0.030197846,6
1.0427116,-0.0052302373,6
0.97456664,-0.006161786,6
0.98279595,-0.0066452217,6
0.9744369,-0.03126613,6
0.973424,0.02732736,6
0.99607766,-0.050898667,6
0.95509803,-0.024122443,6
0.93767965,-0.023595417,6
0.897143,-0.052335724,6
0.7794586,-0.03882733,6
0.9949377,-0.038866155,6
1.1023685,-0.054512586,6
0.9715916,-0.047454208,6
0.9943774,-0.09254507,6
0.89727974,-0.056694817,6
0.78299224,-0.07027768,6
