roi_index,effector_T_cell_degree_centrality,im_malignant_epithelial_cell_exhausted_T_cell,im_malignant_epithelial_cell_malignant_epithelial_cell,effector_T_cell,malignant_epithelial_cell,effector_T_cell_average_clustering,im_malignant_epithelial_cell_effector_T_cell,exhausted_T_cell_average_clustering,exhausted_T_cell_closeness_centrality,im_effector_T_cell_malignant_epithelial_cell,im_effector_T_cell_effector_T_cell,im_effector_T_cell_exhausted_T_cell,effector_T_cell_closeness_centrality,im_exhausted_T_cell_exhausted_T_cell,malignant_epithelial_cell_closeness_centrality,exhausted_T_cell,malignant_epithelial_cell_degree_centrality,malignant_epithelial_cell_average_clustering,moranI,exhausted_T_cell_degree_centrality,im_exhausted_T_cell_effector_T_cell,im_exhausted_T_cell_malignant_epithelial_cell,state_label,PatientID
0,0.691966876829,-0.900985932628,-0.606254139355,0.35379647435,0.50037818748,0.688433825185,0.993930724594,-0.891333809783,-0.931945777628,0.993930724594,0.018578455407,-0.886082871419,0.900722335063,-0.639154330746,1.67433839632,-0.816727215857,1.63074417067,-0.314784136435,-0.712640504993,-0.808552747867,-0.886082871419,-0.900985932628,2,1
1,0.207984820799,-0.900985932628,-0.469408662608,-0.0524170436643,0.689255822487,0.685467453033,0.880207350621,-0.891333809783,-0.931945777628,0.880207350621,0.88026948164,-0.886082871419,0.490376271205,-0.639154330746,1.47434204353,-0.816727215857,1.43035897248,-0.63696643613,0.627964446641,-0.808552747867,-0.886082871419,-0.900985932628,2,1
2,-0.0477781051699,-0.900985932628,-0.521181425073,-0.266259240031,0.810754895298,0.955881296633,0.89878081531,-0.891333809783,-0.931945777628,0.89878081531,1.30536839643,-0.886082871419,0.19566203218,-0.639154330746,1.61709498447,-0.816727215857,1.57524003823,-0.886446551339,-0.335916699262,-0.808552747867,-0.886082871419,-0.900985932628,2,1
3,0.206447985592,-0.900985932628,-0.698464805289,-0.114239041553,0.724291163677,0.756650316037,1.08059079924,-0.891333809783,-0.931945777628,1.08059079924,0.465147982856,-0.886082871419,0.571634803735,-0.639154330746,1.8352797106,-0.816727215857,1.77946337931,-1.24697721024,-1.65976644016,-0.808552747867,-0.886082871419,-0.900985932628,2,1
4,-0.0274500920933,-0.900985932628,-0.679799358109,-0.236299110286,0.701410427076,1.05917031884,0.780437538698,-0.891333809783,-0.931945777628,0.780437538698,1.06636929377,-0.886082871419,0.384732317831,-0.639154330746,1.80905887789,-0.816727215857,1.75594038661,-1.15319929425,-0.570973025957,-0.808552747867,-0.886082871419,-0.900985932628,2,1
5,-0.125172224149,-0.900985932628,-0.556552127642,-0.314029406114,0.837263888294,1.17927438714,0.893186097078,-0.891333809783,-0.931945777628,0.893186097078,1.12648798725,-0.886082871419,0.248201999171,-0.639154330746,1.90221351124,-0.816727215857,1.83832449676,-0.427783161306,-0.819099467446,-0.808552747867,-0.886082871419,-0.900985932628,2,1
6,0.1440260669,-0.900985932628,-0.637284396428,-0.14841064399,0.530388068592,0.828815561294,0.962670362033,-0.891333809783,-0.931945777628,0.962670362033,0.380413208694,-0.886082871419,0.311709836652,-0.639154330746,1.05798919989,-0.816727215857,1.19983850234,-1.20808113607,-0.977515452133,-0.808552747867,-0.886082871419,-0.900985932628,2,1
7,0.213815870561,-0.900985932628,-0.680598449976,-0.121821854026,-0.118966596962,0.848956257071,0.967194434774,-0.891333809783,-0.931945777628,0.967194434774,-0.127512359157,-0.886082871419,0.307917111525,-0.639154330746,0.384504622389,-0.816727215857,0.614767246766,-2.62930488199,0.833541387981,-0.808552747867,-0.886082871419,-0.900985932628,2,1
8,0.06188997533,-0.900985932628,-0.629552930495,-0.242398249534,-0.0348810112551,0.890084232406,0.940561218531,-0.891333809783,-0.931945777628,0.940561218531,0.107550303898,-0.886082871419,0.37450645921,-0.639154330746,0.307743850519,-0.816727215857,0.507367129936,-1.30749565008,-0.332427608722,-0.808552747867,-0.886082871419,-0.900985932628,2,1
9,0.724077363829,1.63490274462,0.186316340572,0.489141075531,0.910458956375,1.06671988934,1.59923019629,2.26944671587,0.443215064299,1.59923019629,0.794555206277,1.95945704671,0.918806587166,-0.639154330746,1.70720327448,-0.41893519917,1.66197444195,1.36890667327,-0.487454838121,-0.468999307489,1.95945704671,1.63490274462,1,2
